Disease,ResNet18_AUROC,ResNet18_PR_AUC
Atelectasis,0.6584586286152079,0.15046696408265772
Cardiomegaly,0.8543656290248111,0.3273657499626304
Effusion,0.8191777777777778,0.3674682906388417
Infiltration,0.6410337365405739,0.3240448573103893
Mass,0.7638193930421909,0.145317576291733
Nodule,0.6057291666666667,0.06798448746954916
Pneumonia,0.5065989847715735,0.02436613473959648
Pneumothorax,0.8453878406708595,0.32607280201923805
Consolidation,0.832206795761783,0.26670181402941734
Edema,0.8481961382113821,0.11768400263770014
Emphysema,0.7721865123051245,0.24545187204849037
Fibrosis,0.7111982710317779,0.1424258359424578
Pleural_Thickening,0.611082295988935,0.09743407526684894
Hernia,0.8068296370967742,0.023352630782798905
